object_name,sectors,ownership_level,service_scale,object_type,process_criticality,critical_process_count,interaction_count,continuous_operation,scada_used,classified_info,life_health_applicable,life_health_level,life_support_applicable,life_support_level,transport_applicable,transport_level,communications_applicable,communications_level,government_service_applicable,government_service_level,government_function_applicable,government_function_level,international_treaty_applicable,international_treaty_level,entity_income_loss_applicable,entity_income_loss_level,federal_budget_loss_applicable,federal_budget_loss_level,financial_market_applicable,financial_market_level,environment_applicable,environment_level,control_center_applicable,control_center_level,defense_order_applicable,defense_order_level,defense_security_system_applicable,defense_security_system_level,category_level,significance_score
Платформа Энергетика #1,energy|mining,municipal,local,process_control_system,8,8,46,True,True,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,False,0,3,90
АСУ Здравоохранение #2,health,federal,federal,telecom_network,10,5,29,True,False,False,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
АСУ Оборонная промышленность #3,defense,municipal,federal,process_control_system,6,5,28,True,True,True,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,True,0,True,1,1,32
АСУ Финансовый рынок #4,finance,private,federal,information_system,8,2,19,True,True,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,0,False,0,False,0,False,0,False,0,2,61
Сервис Оборонная промышленность #5,defense|nuclear|energy,regional,local,process_control_system,6,7,11,True,True,True,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,2,True,2,False,0,True,0,True,0,True,2,True,2,3,100
Контур Химическая промышленность #6,chemistry,regional,federal,information_system,6,6,32,False,False,False,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,3,False,0,False,0,False,0,3,100
Платформа Здравоохранение #7,health,municipal,regional,process_control_system,8,11,19,False,True,False,True,3,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
АСУ Транспорт #8,transport|metallurgy,regional,local,process_control_system,3,4,25,False,True,False,True,1,False,0,False,0,False,0,False,0,True,0,False,0,False,0,True,2,False,0,True,1,False,0,False,0,False,0,2,75
Контур Наука #9,science,private,regional,information_system,6,5,32,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,0,0
Контур Финансовый рынок #10,finance,municipal,federal,telecom_network,6,1,7,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,0,False,0,False,0,False,0,False,0,3,90
Сервис Здравоохранение #11,health,federal,local,information_system,7,6,36,True,False,False,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
ИС Металлургическая промышленность #12,metallurgy|chemistry,private,federal,telecom_network,8,10,43,True,False,False,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,True,3,False,0,False,0,False,0,3,100
Платформа Ракетно-космическая промышленность #13,space,municipal,federal,information_system,7,1,16,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,True,2,True,2,3,100
Сервис Финансовый рынок #14,finance,municipal,regional,information_system,8,10,53,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,1,False,0,False,0,False,0,False,0,3,97
ИС Связь #15,communications,municipal,regional,process_control_system,8,7,28,True,True,False,False,0,True,3,False,0,True,2,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,3,100
ИС Связь #16,communications|space,federal,intersectoral,telecom_network,7,8,33,False,True,False,False,0,False,0,False,0,True,2,True,0,True,2,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,3,100
ИС Транспорт #17,transport,federal,regional,telecom_network,7,1,45,True,False,False,False,0,False,0,True,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
Подсистема Металлургическая промышленность #18,metallurgy,regional,regional,telecom_network,7,3,24,True,False,False,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
